ImageID,Source,LabelName,Confidence,XMin,XMax,YMin,YMax,IsOccluded,IsTruncated,IsGroupOf,IsDepiction,IsInside,XClick1X,XClick2X,XClick3X,XClick4X,XClick1Y,XClick2Y,XClick3Y,XClick4Y
000ab31e6be35fed,activemil,/m/02fq_6,1,0.013125,0.303750,0.288333,0.734167,-1,-1,-1,-1,-1,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
000ab31e6be35fed,xclick,/m/02jfl0,1,0.000000,0.297500,0.310000,0.733333,0,1,0,0,0,0.173750,0.297500,0.146250,0.000000,0.733333,0.603333,0.310000,0.464167
000ab31e6be35fed,xclick,/m/02wbtzl,1,0.000000,0.295625,0.310833,0.730833,0,1,0,0,0,0.139375,0.000000,0.172500,0.295625,0.310833,0.458333,0.730833,0.601667
000ab31e6be35fed,xclick,/m/03bt1vf,1,0.420625,0.627500,0.434167,0.999167,1,1,0,0,0,0.475000,0.627500,0.420625,0.511250,0.434167,0.766667,0.542500,0.999167
000ab31e6be35fed,xclick,/m/03bt1vf,1,0.553750,0.637500,0.428333,0.571667,1,0,0,0,0,0.590000,0.637500,0.553750,0.588750,0.428333,0.485833,0.499167,0.571667
000ab31e6be35fed,xclick,/m/03bt1vf,1,0.590625,0.721875,0.392500,0.721667,1,0,0,0,0,0.673750,0.721875,0.642500,0.590625,0.392500,0.522500,0.721667,0.581667
000ab31e6be35fed,xclick,/m/03bt1vf,1,0.632500,0.843125,0.355000,0.999167,1,1,0,0,0,0.786250,0.843125,0.632500,0.755000,0.355000,0.489167,0.823333,0.999167
000ab31e6be35fed,xclick,/m/03bt1vf,1,0.796875,0.926875,0.430833,0.999167,1,1,0,0,0,0.855000,0.926875,0.796875,0.850625,0.430833,0.600833,0.604167,0.999167
000ab31e6be35fed,xclick,/m/03bt1vf,1,0.867500,0.999375,0.490833,0.999167,1,1,0,0,0,0.999375,0.999375,0.867500,0.880625,0.490833,0.633333,0.947500,0.999167
000ab31e6be35fed,xclick,/m/0crjs,1,0.000000,0.999375,0.000000,0.999167,1,1,0,0,1,0.000000,0.423125,0.999375,0.575000,0.449167,0.000000,0.540833,0.999167
000ab7bec71cc50a,activemil,/m/0284d,1,0.397000,0.668000,0.203733,0.572317,0,0,0,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
000ab7bec71cc50a,activemil,/m/0cxn2,1,0.379000,0.678000,0.192846,0.606532,0,0,0,0,0,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000
000ab7bec71cc50a,xclick,/m/0284d,1,0.655000,0.824000,0.562986,0.772939,0,0,0,0,0,0.655000,0.724000,0.720000,0.824000,0.751166,0.562986,0.772939,0.609642
000ab7bec71cc50a,xclick,/m/09728,1,0.068000,0.750000,0.393468,0.931571,0,0,0,0,0,0.308000,0.750000,0.068000,0.399000,0.393468,0.536547,0.766719,0.931571
000ab7bec71cc50a,xclick,/m/09728,1,0.487000,0.959000,0.447900,0.920684,1,0,1,0,0,0.789000,0.487000,0.959000,0.758000,0.447900,0.920684,0.765163,0.920684
000ab8c20b3e5b58,xclick,/m/0jqgx,1,0.251250,0.423125,0.148889,0.420000,1,0,0,0,0,0.251250,0.279375,0.423125,0.319375,0.201111,0.148889,0.244444,0.420000
000ab8c20b3e5b58,xclick,/m/0jqgx,1,0.275625,0.528125,0.196667,0.705556,0,0,0,0,0,0.275625,0.469375,0.528125,0.471875,0.393333,0.196667,0.484444,0.705556
