/m/011k07,Tortoise
/m/011q46kg,Container
/m/012074,Magpie
/m/0120dh,Sea turtle
/m/01226z,Football
/m/012n7d,Ambulance
/m/012w5l,Ladder
/m/012xff,Toothbrush
/m/012ysf,Syringe
/m/0130jx,Sink
/m/0138tl,Toy
/m/013y1f,Organ (Musical Instrument)
/m/01432t,Cassette deck
/m/014j1m,Apple
/m/014sv8,Human eye
/m/014trl,Cosmetics
/m/014y4n,Paddle
/m/0152hh,Snowman
/m/01599,Beer
/m/01_5g,Chopsticks
/m/015h_t,Human beard
/m/015p6,Bird
/m/015qbp,Parking meter
/m/015qff,Traffic light
/m/015wgc,Croissant
/m/015x4r,Cucumber
/m/015x5n,Radish
/m/0162_1,Towel
/m/0167gd,Doll
/m/016m2d,Skull
/m/0174k2,Washing machine
/m/0174n1,Glove
/m/0175cv,Tick
/m/0176mf,Belt
/m/017ftj,Sunglasses
/m/018j2,Banjo
/m/018p4k,Cart
/m/018xm,Ball
/m/01940j,Backpack
/m/0199g,Bicycle
/m/019dx1,Home appliance
/m/019h78,Centipede
/m/019jd,Boat
/m/019w40,Surfboard
/m/01b638,Boot
/m/01b7fy,Headphones
/m/01b9xk,Hot dog
/m/01bfm9,Shorts
/m/01_bhs,Fast food
/m/01bjv,Bus
/m/01bl7v,Boy
/m/01bms0,Screwdriver
/m/01bqk0,Bicycle wheel
/m/01btn,Barge
/m/01c648,Laptop
/m/01cmb2,Miniskirt
/m/01d380,Drill (Tool)
/m/01d40f,Dress
/m/01dws,Bear
/m/01dwsz,Waffle
/m/01dwwc,Pancake
/m/01dxs,Brown bear
/m/01dy8n,Woodpecker
/m/01f8m5,Blue jay
/m/01f91_,Pretzel
/m/01fb_0,Bagel
/m/01fdzj,Tower
/m/01fh4r,Teapot
/m/01g317,Person
/m/01g3x7,Bow and arrow
/m/01gkx_,Swimwear
/m/01gllr,Beehive
/m/01gmv2,Brassiere
/m/01h3n,Bee
/m/01h44,Bat (Animal)
/m/01h8tj,Starfish
/m/01hrv5,Popcorn
/m/01j3zr,Burrito
/m/01j4z9,Chainsaw
/m/01j51,Balloon
/m/01j5ks,Wrench
/m/01j61q,Tent
/m/01jfm_,Vehicle registration plate
/m/01jfsr,Lantern
/m/01k6s3,Toaster
/m/01kb5b,Flashlight
/m/01knjb,Billboard
/m/01krhy,Tiara
/m/01lcw4,Limousine
/m/01llwg,Necklace
/m/01lrl,Carnivore
/m/01lsmm,Scissors
/m/01lynh,Stairs
