image_name,image_url
000abe5eddc5b303.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000abe5eddc5b303.jpg
000b567c26dd4e5d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b567c26dd4e5d.jpg
000b9814a07fd974.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b9814a07fd974.jpg
000b63a1445f53c8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b63a1445f53c8.jpg
000b59a7822679e6.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b59a7822679e6.jpg
000ab31e6be35fed.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000ab31e6be35fed.jpg
000bc387c731dd97.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000bc387c731dd97.jpg
000afe7726e121ea.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000afe7726e121ea.jpg
000b4671075914cd.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b4671075914cd.jpg
000bb200fc78fc30.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000bb200fc78fc30.jpg
000bc75d38907c78.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000bc75d38907c78.jpg
000b5bc07c0c5df7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b5bc07c0c5df7.jpg
000ba221f70676c6.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000ba221f70676c6.jpg
000b9007a01f7405.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b9007a01f7405.jpg
000ab8c20b3e5b58.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000ab8c20b3e5b58.jpg
000b260e1f08a32a.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b260e1f08a32a.jpg
000ac34008b0ba4c.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000ac34008b0ba4c.jpg
000baa6f7dae9b79.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000baa6f7dae9b79.jpg
000b87119cc301cf.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b87119cc301cf.jpg
000b1971d8daaeef.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b1971d8daaeef.jpg
000b21663becc68e.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b21663becc68e.jpg
000ad6c520be9ec5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000ad6c520be9ec5.jpg
000bc1eb7f74adae.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000bc1eb7f74adae.jpg
000b9d6c0f7d794d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b9d6c0f7d794d.jpg
000ac8c676b6077a.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000ac8c676b6077a.jpg
000ab7bec71cc50a.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000ab7bec71cc50a.jpg
000b09d5d3fc821f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b09d5d3fc821f.jpg
000ae235808cc1e8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000ae235808cc1e8.jpg
000b8d80f7386698.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b8d80f7386698.jpg
000bbdf0dc8099d8.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000bbdf0dc8099d8.jpg
000b93644609911f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b93644609911f.jpg
000b4fcdf1af3361.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b4fcdf1af3361.jpg
000b168e791f591d.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b168e791f591d.jpg
000b393437134262.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b393437134262.jpg
000aecd78b230135.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000aecd78b230135.jpg
000b76a9b80ba43a.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b76a9b80ba43a.jpg
000b55559b0244d7.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b55559b0244d7.jpg
000b72e1446f8849.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b72e1446f8849.jpg
000bcee5bed5446b.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000bcee5bed5446b.jpg
000b9f3ba4891c11.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b9f3ba4891c11.jpg
000b9b61afea2cd4.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b9b61afea2cd4.jpg
000b1b92f0800e94.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b1b92f0800e94.jpg
000b29496f75c8e5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b29496f75c8e5.jpg
000bc33717a6371f.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000bc33717a6371f.jpg
000b70a84aab664b.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b70a84aab664b.jpg
000acf666d991c39.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000acf666d991c39.jpg
000bc5ad4cc3ae73.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000bc5ad4cc3ae73.jpg
000b4935979bf4b5.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000b4935979bf4b5.jpg
000ac95750ac7399.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000ac95750ac7399.jpg
000bc7b0a1889bcb.jpg,https://requestor-proxy.figure-eight.com/figure_eight_datasets/open-images/train/000bc7b0a1889bcb.jpg
